Entity,Code,Year,"Homicide rate per 100,000 population - Both sexes - All ages"
Afghanistan,AFG,2009,4.0715265
Afghanistan,AFG,2010,3.4870927
Afghanistan,AFG,2011,4.208668
Afghanistan,AFG,2012,6.393913
Afghanistan,AFG,2015,9.975262
Afghanistan,AFG,2016,6.6924186
Afghanistan,AFG,2017,6.8006945
Afghanistan,AFG,2018,6.7435727
Afghanistan,AFG,2019,7.180397
Afghanistan,AFG,2020,6.594439
Afghanistan,AFG,2021,4.0224977
Africa (UN),,2000,13.645948
Africa (UN),,2001,13.589387
Africa (UN),,2002,13.524751
Africa (UN),,2003,13.095996
Africa (UN),,2004,12.850431
Africa (UN),,2005,12.7091255
Africa (UN),,2006,12.759147
Africa (UN),,2007,12.555357
Africa (UN),,2008,12.498256
Africa (UN),,2009,12.342634
Africa (UN),,2010,12.226504
Africa (UN),,2011,12.290624
Africa (UN),,2012,12.340445
Africa (UN),,2013,12.359684
Africa (UN),,2014,12.483554
Africa (UN),,2015,12.366553
Africa (UN),,2016,12.334789
Africa (UN),,2017,12.51506
Africa (UN),,2018,12.317689
Africa (UN),,2019,12.313706
Africa (UN),,2020,12.066697
Africa (UN),,2021,12.655763
Albania,ALB,1992,3.9349356
Albania,ALB,1993,5.786633
Albania,ALB,1994,3.400123
Albania,ALB,1995,7.8858495
Albania,ALB,1996,8.314658
Albania,ALB,1997,40.999237
Albania,ALB,1998,20.419683
Albania,ALB,1999,16.582197
Albania,ALB,2000,4.116881
Albania,ALB,2001,6.9761276
Albania,ALB,2002,6.9152064
Albania,ALB,2003,5.3669734
Albania,ALB,2004,4.27738
Albania,ALB,2005,5.078094
Albania,ALB,2006,3.1630955
Albania,ALB,2007,3.5281267
Albania,ALB,2008,3.1507385
Albania,ALB,2009,2.900488
Albania,ALB,2010,4.0845757
Albania,ALB,2011,4.8954477
Albania,ALB,2012,5.4284067
Albania,ALB,2013,4.2950954
Albania,ALB,2014,4.64616
Albania,ALB,2015,2.22031
Albania,ALB,2016,2.7420435
Albania,ALB,2017,2.01434
Albania,ALB,2018,2.294046
Albania,ALB,2019,2.2617478
Albania,ALB,2020,2.127772
Albania,ALB,2021,2.3119686
Algeria,DZA,2006,0.93315166
Algeria,DZA,2007,0.79743814
Algeria,DZA,2008,0.94881076
Algeria,DZA,2009,0.78702044
Algeria,DZA,2010,0.7083823
Algeria,DZA,2011,0.76620924
Algeria,DZA,2012,1.4036288
Algeria,DZA,2013,1.2631371
Algeria,DZA,2014,1.4886416
Algeria,DZA,2015,1.38077
Algeria,DZA,2016,1.343602
Algeria,DZA,2017,1.2738065
Algeria,DZA,2018,1.3547354
Algeria,DZA,2019,1.2153039
Algeria,DZA,2020,1.5051206
Algeria,DZA,2021,1.5731823
American Samoa,ASM,2001,1.71456
American Samoa,ASM,2002,12.032247
American Samoa,ASM,2003,5.1777253
American Samoa,ASM,2004,6.9413714
American Samoa,ASM,2005,10.479617
American Samoa,ASM,2006,7.037607
American Samoa,ASM,2007,1.7736
American Samoa,ASM,2008,5.3676386
American Samoa,ASM,2009,3.6123252
American Samoa,ASM,2010,9.115853
American Samoa,ASM,2011,9.206408
American Samoa,ASM,2012,3.7249844
American Samoa,ASM,2013,5.6609116
American Samoa,ASM,2014,5.7453103
American Samoa,ASM,2015,7.786949
American Samoa,ASM,2016,0
American Samoa,ASM,2017,14.151993
American Samoa,ASM,2018,26.846191
American Samoa,ASM,2019,0
Americas (UN),,2000,15.4731
Americas (UN),,2001,16.230822
Americas (UN),,2002,16.26652
Americas (UN),,2003,16.091763
Americas (UN),,2004,15.066501
Americas (UN),,2005,14.792401
Americas (UN),,2006,15.034039
Americas (UN),,2007,14.639408
Americas (UN),,2008,15.580241
Americas (UN),,2009,16.307438
Americas (UN),,2010,16.619167
Americas (UN),,2011,16.89151
Americas (UN),,2012,17.011108
Americas (UN),,2013,16.498095
Americas (UN),,2014,16.234
Americas (UN),,2015,15.962302
Americas (UN),,2016,16.677736
Americas (UN),,2017,16.955256
Americas (UN),,2018,16.380625
Americas (UN),,2019,15.09908
Americas (UN),,2020,15.0788355
Americas (UN),,2021,14.964148
Andorra,AND,2004,1.2998239
Andorra,AND,2007,0
Andorra,AND,2008,1.3148379
Andorra,AND,2009,0
Andorra,AND,2010,0
Andorra,AND,2011,1.4170829
Andorra,AND,2012,0
Andorra,AND,2013,0
Andorra,AND,2014,0
Andorra,AND,2015,0
Andorra,AND,2020,2.5740025
Angola,AGO,2011,4.3488812
Angola,AGO,2012,4.8316097
Angola,AGO,2015,4.4582353
Angola,AGO,2016,4.102248
Anguilla,AIA,1990,0
Anguilla,AIA,1991,11.60564
Anguilla,AIA,1992,0
Anguilla,AIA,1993,10.963109
Anguilla,AIA,1994,0
Anguilla,AIA,1995,10.416124
Anguilla,AIA,1996,0
Anguilla,AIA,1997,9.870207
Anguilla,AIA,1998,0
Anguilla,AIA,1999,0
Anguilla,AIA,2000,9.051822
Anguilla,AIA,2001,0
Anguilla,AIA,2002,17.30029
Anguilla,AIA,2003,17.029972
Anguilla,AIA,2004,8.37942
Anguilla,AIA,2005,0
Anguilla,AIA,2006,40.56795
Anguilla,AIA,2007,31.937403
Anguilla,AIA,2008,7.855151
Anguilla,AIA,2009,7.724394
Anguilla,AIA,2010,0
Anguilla,AIA,2011,0
Anguilla,AIA,2012,37.160908
Anguilla,AIA,2013,7.29927
Anguilla,AIA,2014,28.327608
Antigua and Barbuda,ATG,1990,1.5790803
Antigua and Barbuda,ATG,1991,4.714461
Antigua and Barbuda,ATG,1992,3.0931501
Antigua and Barbuda,ATG,1993,6.075934
Antigua and Barbuda,ATG,1994,7.4546757
Antigua and Barbuda,ATG,1995,10.234218
Antigua and Barbuda,ATG,1996,4.2981176
Antigua and Barbuda,ATG,1997,1.4041493
Antigua and Barbuda,ATG,2000,6.6617813
Antigua and Barbuda,ATG,2001,9.184544
Antigua and Barbuda,ATG,2002,6.477103
Antigua and Barbuda,ATG,2003,6.4041395
Antigua and Barbuda,ATG,2004,5.0670753
Antigua and Barbuda,ATG,2005,3.7561507
Antigua and Barbuda,ATG,2006,13.59779
Antigua and Barbuda,ATG,2007,20.727789
Antigua and Barbuda,ATG,2008,19.218988
Antigua and Barbuda,ATG,2009,18.927408
Antigua and Barbuda,ATG,2010,7.0015755
Antigua and Barbuda,ATG,2012,11.40589
Antigua and Barbuda,ATG,2017,21.94932
Antigua and Barbuda,ATG,2018,13.09679
Antigua and Barbuda,ATG,2019,3.2567456
Antigua and Barbuda,ATG,2020,9.71251
Antigua and Barbuda,ATG,2021,17.163792
Argentina,ARG,2001,8.348343
Argentina,ARG,2002,9.423247
Argentina,ARG,2003,7.7511554
Argentina,ARG,2004,6.046219
Argentina,ARG,2005,5.6257277
Argentina,ARG,2006,5.347438
Argentina,ARG,2007,5.364114
Argentina,ARG,2008,5.8872066
Argentina,ARG,2009,6.4938993
Argentina,ARG,2010,5.8004694
Argentina,ARG,2011,6.0475802
Argentina,ARG,2012,6.3119206
Argentina,ARG,2013,7.247288
Argentina,ARG,2014,7.53782
